additions,changed_files,changes,closed_at,comments,created_at,deletions,elapsed_days,elapsed_days_of_first_comment,html_url,labels_,merged,number,reviews,title,user.login
11,2,8,2020-03-17 22:44:00,1,2020-03-17 22:14:39,3,0.020381944444444446,-1.0,https://github.com/mwaskom/seaborn/pull/2000,,True,2000,,Avoid floating point error with maximum husl sat/lum,mwaskom
18,3,16,2020-03-17 21:38:21,1,2020-03-14 14:07:29,2,1.3131018518518518,-1.0,https://github.com/mwaskom/seaborn/pull/1991,,True,1991,,Avoid error in despine when axis has matplotlib categories,mwaskom
16,2,0,2020-02-27 15:38:51,1,2020-02-26 12:50:10,16,1.1171412037037036,-1.0,https://github.com/mwaskom/seaborn/pull/1973,,True,1973,,Add deprecation notice for sig_stars,mwaskom
17,3,15,2020-02-22 22:29:03,1,2020-02-22 17:17:13,2,0.21655092592592592,-1.0,https://github.com/mwaskom/seaborn/pull/1969,,True,1969,MaozGelbart,"Don't fail in regplot on singletons, don't fit regression either",mwaskom
3,1,0,2020-02-22 17:48:27,1,2020-02-22 17:00:47,3,0.033101851851851855,-1.0,https://github.com/mwaskom/seaborn/pull/1968,,True,1968,,Use numpy's indexing dtype in bootstrap,mwaskom
1,8,-507,2020-01-22 20:03:52,1,2020-01-22 18:35:55,508,0.06107638888888889,-1.0,https://github.com/mwaskom/seaborn/pull/1943,,True,1943,,Remove previously deprecated modules,mwaskom
52,21,-931,2020-01-22 20:02:04,1,2020-01-22 03:57:07,983,0.6701041666666666,-1.0,https://github.com/mwaskom/seaborn/pull/1941,,True,1941,MaozGelbart,Drop Python 2 support,mwaskom
50,2,19,2020-01-22 01:10:10,1,2020-01-21 19:42:11,31,0.2277662037037037,-1.0,https://github.com/mwaskom/seaborn/pull/1939,,True,1939,,More improvements to clustergrid layout,mwaskom
203,32,43,2020-01-21 11:58:58,1,2020-01-19 19:33:46,160,1.6841666666666666,-1.0,https://github.com/mwaskom/seaborn/pull/1936,,True,1936,,Housekeeping,mwaskom
43,3,22,2020-01-18 23:10:53,1,2020-01-18 22:34:33,21,0.025231481481481483,-1.0,https://github.com/mwaskom/seaborn/pull/1935,,True,1935,,Control dendrogram properties in clustergrid,mwaskom
21,5,-16,2020-01-18 21:09:09,1,2020-01-18 20:28:33,37,0.028194444444444446,-1.0,https://github.com/mwaskom/seaborn/pull/1934,,True,1934,,Allow colors= in bivariate kdeplot,mwaskom
15,3,14,2020-01-18 16:42:18,1,2020-01-18 14:39:44,1,0.08511574074074074,-1.0,https://github.com/mwaskom/seaborn/pull/1932,,True,1932,,Avoid error/warning in lineplot when x is categorical with empty levels,mwaskom
203,3,135,2020-01-18 13:21:07,1,2020-01-17 02:07:45,68,1.4676157407407406,-1.0,https://github.com/mwaskom/seaborn/pull/1931,,True,1931,,Improvements and fixes to clustermap,mwaskom
264,9,175,2020-01-16 23:40:59,3,2020-01-14 15:46:39,89,2.3293981481481483,0.9823148148148149,https://github.com/mwaskom/seaborn/pull/1926,,True,1926,,Expose RNG seed where bootstrapping is used,mwaskom
25,5,23,2020-01-15 15:05:42,3,2020-01-14 01:27:49,2,1.567974537037037,0.7151967592592593,https://github.com/mwaskom/seaborn/pull/1925,,False,1925,,Use a persistant internal random number generator for boostrapping,mwaskom
30,2,25,2020-01-06 12:31:28,1,2020-01-05 22:49:13,5,0.5710069444444444,-1.0,https://github.com/mwaskom/seaborn/pull/1915,,True,1915,,Allow presence of norm to force numeric interpretation of hue/size,mwaskom
31,4,31,2020-01-05 21:45:46,1,2020-01-05 20:49:06,0,0.03935185185185185,-1.0,https://github.com/mwaskom/seaborn/pull/1914,,True,1914,,Warn and ignore when passing ax= to figure-level function,mwaskom
97,3,88,2020-01-05 21:06:25,1,2020-01-05 18:45:26,9,0.0979050925925926,-1.0,https://github.com/mwaskom/seaborn/pull/1913,,True,1913,,Improve robustness to missing data in distribution plots,mwaskom
47,3,31,2020-01-05 19:01:32,1,2020-01-05 18:09:39,16,0.03603009259259259,-1.0,https://github.com/mwaskom/seaborn/pull/1912,,True,1912,,Improve color palette robustness,mwaskom
46,5,37,2019-12-30 22:29:20,1,2019-12-30 17:57:30,9,0.18877314814814813,-1.0,https://github.com/mwaskom/seaborn/pull/1909,,True,1909,,Allow FacetGrid legend to work with nested labels,mwaskom
48,5,30,2019-12-29 21:49:58,1,2019-12-29 18:30:08,18,0.13877314814814815,-1.0,https://github.com/mwaskom/seaborn/pull/1905,,True,1905,,Avoid errors with numeric data stored as strings,mwaskom
47,4,32,2019-12-29 16:44:05,1,2019-12-29 01:11:55,15,0.647337962962963,-1.0,https://github.com/mwaskom/seaborn/pull/1902,,True,1902,,Allow named categorical palette to force interpretation of hue variable in relational plots,mwaskom
236,3,175,2019-12-29 00:32:16,1,2019-12-22 20:35:54,61,5.164143518518519,-1.0,https://github.com/mwaskom/seaborn/pull/1900,,True,1900,,Improve pandas index-based alignment,mwaskom
27,3,23,2019-12-19 16:01:21,1,2019-12-19 12:47:38,4,0.13452546296296297,-1.0,https://github.com/mwaskom/seaborn/pull/1898,,True,1898,,Two small fixes in regplot,mwaskom
45,6,26,2019-12-18 15:05:53,2,2019-12-17 15:24:26,19,0.9871180555555555,0.9870486111111111,https://github.com/mwaskom/seaborn/pull/1896,,True,1896,,Prevent multiple regplots from adding expanding x margins to the plot,mwaskom
24,3,22,2019-12-15 03:38:00,1,2019-12-15 02:14:46,2,0.05780092592592593,-1.0,https://github.com/mwaskom/seaborn/pull/1893,,True,1893,,Fix exception on missing hue levels in pointplot,mwaskom
29,4,28,2019-09-07 18:22:11,0,2019-09-07 16:40:37,1,0.0705324074074074,-1.0,https://github.com/mwaskom/seaborn/pull/1831,,True,1831,,Avoid error when calling set() with list of colors,mwaskom
26,3,26,2019-09-07 16:02:20,2,2019-09-07 14:36:15,0,0.05978009259259259,-1.0,https://github.com/mwaskom/seaborn/pull/1830,,True,1830,,Exclude norm from clustermap color kwargs,mwaskom
291,4,124,2019-09-05 18:31:08,2,2019-09-04 01:26:43,167,1.7114004629629629,-1.0,https://github.com/mwaskom/seaborn/pull/1824,,True,1824,,Enhancements and fixes to PairGrid,mwaskom
26,4,25,2019-09-04 00:32:10,2,2019-09-03 20:35:43,1,0.16420138888888888,-1.0,https://github.com/mwaskom/seaborn/pull/1823,,True,1823,,Don't error on singular data in kdeplot,mwaskom
75,10,15,2019-08-17 17:06:54,2,2019-08-17 15:25:48,60,0.07020833333333333,-1.0,https://github.com/mwaskom/seaborn/pull/1807,,True,1807,,Small fix onnibus,mwaskom
10,2,10,2019-08-14 21:11:06,2,2019-08-14 19:19:27,0,0.07753472222222223,0.019375,https://github.com/mwaskom/seaborn/pull/1801,,True,1801,shoyer,Declare xvfb as a Travis service (fixes #1798) and fix other travis issues,mwaskom
130,19,78,2019-04-15 00:01:20,2,2019-04-14 21:02:16,52,0.12435185185185185,-1.0,https://github.com/mwaskom/seaborn/pull/1725,,True,1725,,Issue omnibus,mwaskom
23,13,2,2019-04-05 15:39:44,1,2019-04-05 15:13:43,21,0.01806712962962963,-1.0,https://github.com/mwaskom/seaborn/pull/1713,,True,1713,,Omnibus typo fixes,mwaskom
49,9,-43,2019-04-05 14:47:29,2,2019-04-05 02:29:19,92,0.5126157407407408,-1.0,https://github.com/mwaskom/seaborn/pull/1712,,True,1712,,Get travis running cleanly again,mwaskom
29,2,27,2018-07-16 12:21:06,3,2018-07-16 11:56:41,2,0.01695601851851852,11.04539351851852,https://github.com/mwaskom/seaborn/pull/1496,,True,1496,,Add catplot companion,mwaskom
7,2,0,2018-07-15 13:55:31,1,2018-07-15 13:31:49,7,0.016458333333333332,-1.0,https://github.com/mwaskom/seaborn/pull/1495,,True,1495,,Update .ix to .loc for pandas compat,mwaskom
